ID,BRANCH,ADDRESS,CITY,POSTCODE,PHONE,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,LATITUDE,LONGITUDE,LINK,NYU 
11,Elmhurst,86-01 Broadway,Elmhurst,11373,(718) 271-1020,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.738498,-73.877382,https://www.queenslibrary.org/about-us/locations/elmhurst,0
12,McGoldrick,155-06 Roosevelt Av. (off Northern Blvd),Flushing,11354,(718) 461-1616,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.763998,-73.809754,https://www.queenslibrary.org/about-us/locations/mcgoldrick,0
13,Bellerose,250-06 Hillside Avenue,Bellerose,11426,(718) 831-8644,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.735403,-73.717266,https://www.queenslibrary.org/about-us/locations/bellerose,0
14,Far Rockaway,1637 Central Avenue,Far Rockaway,11691,(718) 327-2549,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.604487,-73.752641,https://www.queenslibrary.org/about-us/locations/far-rockaway,0
15,Windsor Park,79-50 Bell Boulevard,Bayside,11364,(718) 468-8300,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.734936,-73.755509,https://www.queenslibrary.org/about-us/locations/windsor-park,0
16,Ozone Park,92-24 Rockaway Boulevard,Ozone Park,11417,(718) 845-3127,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.681283,-73.847111,https://www.queenslibrary.org/about-us/locations/ozone-park,0
17,Lefrak City,98-30 57 Avenue,Corona,11368,(718) 592-7677,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.738027,-73.861173,https://www.queenslibrary.org/about-us/locations/lefrak-city,0
18,Bay Terrace,18-36 Bell Boulevard,Bayside,11360,(718) 423-7004,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.783103,-73.777013,https://www.queenslibrary.org/about-us/locations/bay-terrace,0
19,North Forest Park,98-27 Metropolitan Avenue,Forest Hills,11375,(718) 261-5512,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.710913,-73.853662,https://www.queenslibrary.org/about-us/locations/north-forest-park,0
20,Forest Hills,108-19 71 Avenue,Forest Hills,11375,(718) 268-7934,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.721777,-73.843378,https://www.queenslibrary.org/about-us/locations/forest-hills,0
21,Laurelton,134-26 225 Street,Laurelton,11413,(718) 528-2822,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.677059,-73.74514,https://www.queenslibrary.org/about-us/locations/laurelton,0
22,Mitchell-Linden,29-42 Union Street,Flushing,11354,(718) 539-2330,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.771345,-73.826582,https://www.queenslibrary.org/about-us/locations/mitchell-linden,0
23,Woodside,54-22 Skillman Avenue, Woodside,11377,(718) 429-4700,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.745524,-73.90982,https://www.queenslibrary.org/about-us/locations/woodside,0
24,South Ozone Park,128-16 Rockaway Boulevard,South Ozone Park,11420,(718) 529-1660,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.675084,-73.809585,https://www.queenslibrary.org/about-us/locations/south-ozone-park,0
25,Broadway,40-20 Broadway,Long Island City,11103,(718) 721-2462,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.758859,-73.918772,https://www.queenslibrary.org/about-us/locations/broadway,0
26,Ridgewood,20-12 Madison Street,Ridgewood,11385,(718) 821-4770,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.705193,-73.902867,https://www.queenslibrary.org/about-us/locations/ridgewood,0
27,Woodhaven,85-41 Forest Parkway,Woodhaven,11421,(718) 849-1010,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.694619,-73.861812,https://www.queenslibrary.org/about-us/locations/woodhaven,0
28,South Hollis,204-01 Hollis Avenue,South Hollis,11412,(718) 465-6779,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.706755,-73.753827,https://www.queenslibrary.org/about-us/locations/south-hollis,0
29,Steinway,21-45 31 Street,Long Island City,11105,(718) 728-1965,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.777105,-73.909496,https://www.queenslibrary.org/about-us/locations/steinway,0
30,Sunnyside,43-06 Greenpoint Avenue,Long Island City,11104,(718) 784-3033,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.740977,-73.921797,https://www.queenslibrary.org/about-us/locations/sunnyside,0
31,Maspeth,69-70 Grand Avenue,Maspeth,11378,(718) 639-5228,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.727126,-73.893357,https://www.queenslibrary.org/about-us/locations/maspeth,0
32,Hillcrest,187-05 Union Turnpike,Flushing,11366,(718) 454-2786,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.728981,-73.781902,https://www.queenslibrary.org/about-us/locations/hillcrest,0
33,Baisley Park,117-11 Sutphin Boulevard,Jamaica,11436,(718) 529-1590,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.680318,-73.79203,https://www.queenslibrary.org/about-us/locations/baisley-park,0
34,Richmond Hill,118-14 Hillside Avenue,Richmond Hill,11418,(718) 849-7150,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.701022,-73.83211,https://www.queenslibrary.org/about-us/locations/richmond-hill,0
35,Jackson Heights,35-51 81 Street,Jackson Heights,11372,(718) 899-2500,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.751319,-73.885533,https://www.queenslibrary.org/about-us/locations/jackson-heights,0
36,North Hills,57-04 Marathon Parkway,Little Neck,11362,(718) 225-3550,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.75942,-73.731307,https://www.queenslibrary.org/about-us/locations/north-hills,0
37,Lefferts,103-34 Lefferts Boulevard,Richmond Hill,11419,(718) 843-5950,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.687273,-73.824691,https://www.queenslibrary.org/about-us/locations/lefferts,0
38,East Flushing,196-36 Northern Boulevard,Flushing,11358,(718) 357-6643,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.757877,-73.784804,https://www.queenslibrary.org/about-us/locations/east-flushing,0
39,Poppenhusen,121-23 14 Avenue,College Point,11356,(718) 359-1102,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.785984,-73.846506,https://www.queenslibrary.org/about-us/locations/poppenhusen,0
40,East Elmhurst,95-06 Astoria Boulevard,East Elmhurst,11369,(718) 424-2619,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.76278,-73.874016,https://www.queenslibrary.org/about-us/locations/east-elmhurst,0
41,Middle Village,72-31 Metropolitan Avenue,Middle Village,11379,(718) 326-1390,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.71258,-73.880885,https://www.queenslibrary.org/about-us/locations/middle-village,0
42,Pomonok,158-21 Jewel Avenue,Flushing,11365,(718) 591-4343,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.732272,-73.809902,https://www.queenslibrary.org/about-us/locations/pomonok,0
43,Rego Park,91-41 63 Drive,Rego Park,11374,(718) 459-5140,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.726991,-73.864371,https://www.queenslibrary.org/about-us/locations/rego-park,0
44,Broad Channel,16-26 Cross Bay Boulevard,Broad Channel,11693,(718) 318-4943,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.600838,-73.820374,https://www.queenslibrary.org/about-us/locations/broad-channel,0
45,Seaside,116-15 Rockaway Beach Boulevard,Rockaway Park,11694,(718) 634-1876,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.57971,-73.837487,https://www.queenslibrary.org/about-us/locations/seaside,0
46,Auburndale,25-55 Francis Lewis Boulevard,Flushing,11358,(718) 352-2027,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.773525,-73.796552,https://www.queenslibrary.org/about-us/locations/auburndale,0
47,Queens Village,94-11 217 Street,Queens Village,11428,(718) 776-6800,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.719749,-73.739299,https://www.queenslibrary.org/about-us/locations/queens-village,0
48,Kew Gardens Hills,72-33 Vleigh Place,Flushing,11367,(718) 261-6654,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM, ,12:00 PM - 5:00 PM,40.725815,-73.820989,https://www.queenslibrary.org/about-us/locations/kew-gardens-hills,0
49,Glen Oaks,256-04 Union Turnpike, Glen Oaks,11004,(718) 831-8636,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.745388,-73.715036,https://www.queenslibrary.org/about-us/locations/glen-oaks,0
50,Briarwood,85-12 Main Street,Briarwood,11435,(718) 658-1680,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.71014,-73.819621,https://www.queenslibrary.org/about-us/locations/briarwood,0
51,St. Albans,191-05 Linden Boulevard,St. Albans,11412,(718) 528-8196,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.692284,-73.760112,https://www.queenslibrary.org/about-us/locations/st.albans,0
52,Langston Hughes,100-01 Northern Boulevard,Corona,11368,(718) 651-1100,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.757361,-73.868331,https://www.queenslibrary.org/about-us/locations/langston-hughes,0
53,Corona,38-23 104 Street,Corona,11368,(718) 426-2844,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.750871,-73.862204,https://www.queenslibrary.org/about-us/locations/corona,0
54,Astoria,14-01 Astoria Boulevard,Long Island City,11102,(718) 278-2220,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.772173,-73.928757,https://www.queenslibrary.org/about-us/locations/astoria,0
55,Peninsula,92-25 Rockaway Beach Boulevard,Rockaway Beach,11693,(718) 634-1110,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.5863,-73.815797,https://www.queenslibrary.org/about-us/locations/peninsula,0
56,Fresh Meadows,193-20 Horace Harding Expressway,Fresh Meadows,11365,(718) 454-7272,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.74172,-73.782521,https://www.queenslibrary.org/about-us/locations/fresh-meadows,0
57,Whitestone,151-10 14 Road,Whitestone,11357,(718) 767-8010,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.78864,-73.810893,https://www.queenslibrary.org/about-us/locations/whitestone,0
58,Cambria Heights,218-13 Linden Boulevard,Cambria Heights,11411,(718) 528-3535,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.69554,-73.74138,https://www.queenslibrary.org/about-us/locations/cambria-heights,0
59,Court Square,25-01 Jackson Avenue,Long Island City,11101,(718) 937-2790,11:00 AM - 7:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 7:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.746845,-73.94444,https://www.queenslibrary.org/about-us/locations/court-square,0
60,Rochdale Village,169-09 137 Avenue,Jamaica,11434,(718) 723-4440,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.672568,-73.770994,https://www.queenslibrary.org/about-us/locations/rochdale-village,0
61,Flushing,41-17 Main Street,Flushing,11355,(718) 661-1200,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,40.757784,-73.829252,https://www.queenslibrary.org/about-us/locations/flushing,0
62,Central Library,89-11 Merrick Boulevard,Jamaica,11432,(718) 990-0700,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,40.707865,-73.795295,https://www.queenslibrary.org/about-us/locations/central-library,0
63,Arverne,312 Beach 54 Street,Arverne,11692,(718) 634-4784,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.593066,-73.784341,https://www.queenslibrary.org/about-us/locations/arverne,0
64,Arlington Library,203 Arlington Ave. at Warwick St,Brooklyn,11207,718.277.6105,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.680456600000,-73.887288700000,https://www.bklynlibrary.org/locations/arlington,0
65,Bay Ridge Library,7223 Ridge Blvd. at 73rd St.,Brooklyn,11209,718.748.5709,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.633650700000,-74.029523500000,https://www.bklynlibrary.org/locations/bay-ridge,0
66,Bedford Library,496 Franklin Avenue,Brooklyn,11238,718.623.0012,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.681817000000,-73.956194800000,https://www.bklynlibrary.org/locations/bedford,0
67,Borough Park Library,1265 43rd St. at 13th Ave,Brooklyn,11219,718.437.4085,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM, ,1:00 PM - 5:00 PM,40.638920000000,-73.989122700000,https://www.bklynlibrary.org/locations/borough-park,0
68,Brighton Beach Library,16 Brighton First Rd. at Brighton Beach Ave,Brooklyn,11235,718.946.2917,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.576178400000,-73.966799500000,https://www.bklynlibrary.org/locations/brighton-beach,0
69,Brooklyn Heights Library,109 Remsen Street,Brooklyn,11201,718.623.7100,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.694073700000,-73.994015000000,https://www.bklynlibrary.org/locations/brooklyn-heights,0
70,Brower Park Library,725 St. Marks Ave. at Nostrand Ave,Brooklyn,11216,718.773.7208,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.675355100000,-73.948610700000,https://www.bklynlibrary.org/locations/brower-park,0
71,Brownsville Library,61 Glenmore Ave. at Watkins St,Brooklyn,11212,718.498.9721,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.671344700000,-73.908388200000,https://www.bklynlibrary.org/locations/brownsville,0
72,Bushwick Library,340 Bushwick Avenue,Brooklyn,11206,718.602.1348,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.704528500000,-73.939602100000,https://www.bklynlibrary.org/locations/bushwick,0
73,Canarsie Library,1580 Rockaway Pkwy. at Ave. J,Brooklyn,11236,718.257.6547,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.642131900000,-73.899383100000,https://www.bklynlibrary.org/locations/canarsie,0
74,Carroll Gardens Library,396 Clinton St,Brooklyn,11231,718.596.6972,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.683229000000,-73.998031000000,https://www.bklynlibrary.org/locations/carroll-gardens,0
75,Central Library,10 Grand Army Plaza,Brooklyn,11238,718.230.2100,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,1:00 PM - 5:00 PM,40.672480800000,-73.968208400000,https://www.bklynlibrary.org/locations/central,0
76,Clarendon Library,2035 Nostrand Ave,Brooklyn,11210,718.421.1159,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.635736900000,-73.947958200000,https://www.bklynlibrary.org/locations/clarendon,0
77,Clinton Hill Library,380 Washington Ave. at Lafayette Ave.,Brooklyn,11238,718.398.8713,10:00 AM - 6:00 PM,10:00 AM - 8:00 PM,1:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.687335100000,-73.965652500000,https://www.bklynlibrary.org/locations/clinton-hill,0
78,Coney Island Library,1901 Mermaid Ave. (Near W. 19th St.),Brooklyn,11224,718.265.3220,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.576787100000,-73.986084500000,https://www.bklynlibrary.org/locations/coney-island,0
79,Cortelyou Library,1305 Cortelyou Rd. at Argyle Rd.,Brooklyn,11226,718.693.7763,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.640611400000,-73.965786200000,https://www.bklynlibrary.org/locations/cortelyou,0
80,Crown Heights Library,560 New York Ave. at Maple St.,Brooklyn,11225,718.773.1180,10:00 AM - 6:00 PM,1:00 PM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.661222500000,-73.947784400000,https://www.bklynlibrary.org/locations/crown-heights,0
